English name,species_code
White-quilled Rock-Pigeon,wqrpig1
Wonga Pigeon,wonpig1
Diamond Dove,diadov1
Zebra Dove,zebdov
Peaceful Dove,peadov1
Barred Dove,bardov2
Bar-shouldered Dove,basdov1
Inca Dove,incdov
Common Ground Dove,cogdov
Plain-breasted Ground Dove,pbgdov1
Ruddy Ground Dove,rugdov
Ecuadorian Ground Dove,ecgdov1
Scaled Dove,scadov1
Picui Ground Dove,pigdov1
Croaking Ground Dove,crgdov1
Blue-eyed Ground Dove,begdov2
Blue Ground Dove,blgdov1
Maroon-chested Ground Dove,mcgdov1
Purple-winged Ground Dove,pwgdov1
Bare-faced Ground Dove,bfgdov1
Bare-eyed Ground Dove,begdov1
Black-winged Ground Dove,bwgdov1
Golden-spotted Ground Dove,gsgdov1
Long-tailed Ground Dove,ltgdov1
Blue-headed Quail-Dove,bhqdov1
Purple Quail-Dove,sapqud1
Sapphire Quail-Dove,sapqud2
Crested Quail-Dove,crqdov1
Ruddy Quail-Dove,ruqdov
Violaceous Quail-Dove,viqdov1
Gray-fronted Quail-Dove,gfqdov
White-fronted Quail-Dove,wfqdov
Key West Quail-Dove,kwqdov
Bridled Quail-Dove,brqdov1
Olive-backed Quail-Dove,obqdov1
White-tipped Dove,whtdov
Caribbean Dove,cardov1
Gray-chested Dove,grcdov1
Tolima Dove,toldov1
Ochre-bellied Dove,ocbdov1
Gray-headed Dove,gyhdov1
Gray-fronted Dove,grfdov1
Grenada Dove,gredov1
Pallid Dove,paldov1
Large-tailed Dove,latdov1
Tuxtla Quail-Dove,tuqdov1
Buff-fronted Quail-Dove,bfqdov1
Purplish-backed Quail-Dove,pbqdov1
White-faced Quail-Dove,wfqdov1
White-throated Quail-Dove,wtqdov1
Lined Quail-Dove,liqdov1
Chiriqui Quail-Dove,chqdov1
Russet-crowned Quail-Dove,rcqdov1
West Peruvian Dove,wepdov1
White-winged Dove,whwdov
Zenaida Dove,zendov
Galapagos Dove,galdov1
Eared Dove,eardov1
Mourning Dove,moudov
Socorro Dove,socdov1
Nicobar Pigeon,nicpig1
Spotted Green Pigeon,spgpig1
Dodo,dodo1
Rodrigues Solitaire,rodsol2
Sulawesi Ground Dove,sugdov1
Cinnamon Ground Dove,cigdov2
Mindoro Bleeding-heart,mibhea2
Negros Bleeding-heart,nebhea1
Sulu Bleeding-heart,subhea1
Luzon Bleeding-heart,lubhea1
Mindanao Bleeding-heart,minblh1
Choiseul Pigeon,chopig1
Thick-billed Ground-Pigeon,tbgpig2
Pheasant Pigeon,phepig1
Western Crowned-Pigeon,wecpig1
Sclater's Crowned-Pigeon,soucrp1
Scheepmaker's Crowned-Pigeon,soucrp2
Victoria Crowned-Pigeon,vicpig1
Tooth-billed Pigeon,tobpig1
White-eared Brown-Dove,whedov1
Amethyst Brown-Dove,amedov1
Mindanao Brown-Dove,daedov2
Tawitawi Brown-Dove,daedov3
Little Green-Pigeon,ligpig1
Pink-necked Green-Pigeon,pinpig3
Cinnamon-headed Green-Pigeon,cihpig1
Orange-breasted Green-Pigeon,orbpig1
Sri Lanka Green-Pigeon,pogpig1
Gray-fronted Green-Pigeon,pomgrp2
Andaman Green-Pigeon,pomgrp4
Ashy-headed Green-Pigeon,pomgrp5
Philippine Green-Pigeon,pomgrp1
Buru Green-Pigeon,pomgrp3
Thick-billed Green-Pigeon,thbpig1
Gray-cheeked Green-Pigeon,gycpig1
Sumba Green-Pigeon,sugpig2
Flores Green-Pigeon,flgpig1
Timor Green-Pigeon,timgrp1
Large Green-Pigeon,lagpig1
Yellow-footed Green-Pigeon,yefpig1
Bruce's Green-Pigeon,brgpig1
Comoro Green-Pigeon,madgrp2
Madagascar Green-Pigeon,madgrp1
Pemba Green-Pigeon,pegpig1
Sao Tome Green-Pigeon,stgpig1
Yellow-vented Green-Pigeon,yevpig1
Pin-tailed Green-Pigeon,pitpig1
African Green-Pigeon,afrgrp1
Sumatran Green-Pigeon,gnspig1
Wedge-tailed Green-Pigeon,wetpig1
White-bellied Green-Pigeon,whbpig1
Whistling Green-Pigeon,whgpig1
Black-backed Fruit-Dove,bbfdov1
Black-banded Fruit-Dove,bbfdov2
Red-naped Fruit-Dove,rnfdov1
Pink-headed Fruit-Dove,phfdov1
Yellow-breasted Fruit-Dove,ybfdov2
Flame-breasted Fruit-Dove,fbfdov1
Cream-breasted Fruit-Dove,crbfrd1
Red-eared Fruit-Dove,refdov1
Jambu Fruit-Dove,jafdov1
Maroon-chinned Fruit-Dove,macfrd1
Banggai Fruit-Dove,macfrd3
Sula Fruit-Dove,macfrd2
Black-chinned Fruit-Dove,bcfdov1
Scarlet-breasted Fruit-Dove,sbfdov1
Wompoo Fruit-Dove,wofdov1
Pink-spotted Fruit-Dove,psfdov1
Ornate Fruit-Dove,orfdov1
Tanna Fruit-Dove,tafdov1
Orange-fronted Fruit-Dove,offdov1
Wallace's Fruit-Dove,wafdov1
Superb Fruit-Dove,sufdov1
Many-colored Fruit-Dove,mcfdov1
Purple-capped Fruit-Dove,pucfrd1
Kosrae Fruit-Dove,kosfrd1
Crimson-crowned Fruit-Dove,ccfdov1
Palau Fruit-Dove,pafdov1
Cook Islands Fruit-Dove,cifdov1
Mariana Fruit-Dove,mafdov2
Rose-crowned Fruit-Dove,rcfdov1
Silver-capped Fruit-Dove,scfdov1
Raiatea Fruit-Dove,gygfrd2
Gray-green Fruit-Dove,gygfrd1
Makatea Fruit-Dove,mafdov1
Atoll Fruit-Dove,atfdov1
Red-bellied Fruit-Dove,rbfdov1
Rapa Fruit-Dove,rafdov1
White-capped Fruit-Dove,wcfdov1
Red-moustached Fruit-Dove,rmfdov1
Henderson Island Fruit-Dove,hifdov1
Coroneted Fruit-Dove,cofdov1
Beautiful Fruit-Dove,befdov1
Blue-capped Fruit-Dove,bcfdov2
White-breasted Fruit-Dove,whbfrd1
Geelvink Fruit-Dove,yebfrd1
Yellow-bibbed Fruit-Dove,yebfrd2
Claret-breasted Fruit-Dove,cbfdov1
White-headed Fruit-Dove,whfdov2
Orange-bellied Fruit-Dove,obfdov1
Knob-billed Fruit-Dove,kbfdov1
Gray-headed Fruit-Dove,gyhfrd1
Carunculated Fruit-Dove,cafdov1
Black-naped Fruit-Dove,bknfrd1
Dwarf Fruit-Dove,dwafrd1
Negros Fruit-Dove,nefdov1
Orange Dove,oradov1
Golden Dove,goldov1
Whistling Dove,veldov1
Cloven-feathered Dove,clfdov1
